대권역,중권역,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
낙동강,낙동고령,513266,15113,2104,9125,3884,1705,985,672,48,19897,11515,8353,29,414664,0,413950,714,86,85,0,1,72,0,0,72,0,0,0,0,17,0,0,17,1112,0,500,612,60600,0,60600,0,0,0,0,0,0,0,0,0
낙동강,합천댐,1971220,32135,16499,14761,875,701,571,130,0,59161,48360,10801,0,1604000,0,1604000,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,250,950,274000,0,274000,0,0,0,0,0,0,0,0,0
낙동강,황강,674752,18104,7366,9547,1191,120,0,120,0,37335,32047,5288,0,617562,0,617562,0,36,0,36,0,6,0,0,6,0,0,0,0,0,0,0,0,1589,0,1589,0,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,낙동창녕,2463150,18473,3839,8989,5645,1149,732,374,43,62735,54094,8608,33,2330427,85000,2134120,111307,16,10,0,6,923,0,358,565,0,0,0,0,119,0,13,106,2404,0,1323,1081,37500,0,37500,0,0,0,0,0,9404,0,0,9404
낙동강,남강댐,3064341,46261,20078,19414,6769,3345,2516,765,64,227983,205105,22117,761,2159613,2038,2073389,84186,162,107,14,41,6232,454,606,5172,0,0,0,0,411,0,71,340,8027,0,679,7348,341564,0,281889,59675,2,0,0,2,270741,0,0,270741
낙동강,남강,2214546,32003,11997,10267,9739,7996,4428,2312,1256,140084,120507,17035,2542,1612933,11000,1485130,116803,91,40,7,44,3669,0,109,3560,7,0,0,7,739,0,0,739,9878,0,2383,7495,2043,0,0,2043,0,0,0,0,405103,0,0,405103
낙동강,낙동밀양,3305279,50008,23793,15111,11104,6128,3866,2046,216,208995,192679,16294,22,2992522,0,1710902,1281620,96,50,36,10,1033,0,0,1033,0,0,0,0,84,0,0,84,6230,0,2376,3854,645,0,640,5,0,0,0,0,39538,0,0,39538
낙동강,밀양강,563086,38411,5145,17006,16260,950,234,603,113,88304,45863,42327,114,428803,0,360659,68144,36,0,23,13,3524,0,1712,1812,0,0,0,0,1960,0,1811,149,398,0,0,398,700,0,700,0,0,0,0,0,0,0,0,0
낙동강,낙동강하구언,1885366,13361,4789,4507,4065,2565,875,1067,623,140902,121600,19280,22,1393912,0,1304895,89017,1214,1128,62,24,959,0,0,959,35,0,0,35,586,0,0,586,10136,0,628,9508,2594,0,2233,361,0,0,0,0,319102,0,0,319102
낙동강,형산강,2402145,69711,23025,24611,22075,13730,9559,4062,109,111544,100346,10837,361,2185425,0,2185171,254,2390,37,2353,0,5466,0,5466,0,0,0,0,0,3110,0,3110,0,10769,0,10769,0,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,태화강,797466,26445,3215,11309,11921,1442,365,507,570,46828,33558,6850,6420,716561,0,407600,308961,90,0,90,0,1644,0,1630,14,4,0,0,4,836,0,830,6,2546,0,2546,0,1070,0,0,1070,0,0,0,0,0,0,0,0
낙동강,회야강,149184,3953,5,2036,1912,268,0,252,16,10341,7500,781,2060,68288,0,35500,32788,0,0,0,0,260,0,16,244,0,0,0,0,29,0,0,29,592,0,196,396,420,0,0,420,0,0,0,0,65033,0,0,65033
낙동강,수영강,16656,8543,7000,1342,201,160,0,160,0,1453,0,1175,278,5041,0,4000,1041,44,30,14,0,98,0,0,98,0,0,0,0,22,0,0,22,168,0,50,118,1127,0,1000,127,0,0,0,0,0,0,0,0
낙동강,왕피천,23835,11183,1752,7508,1923,302,169,133,0,3023,2352,565,106,5627,0,1100,4527,24,0,24,0,798,0,0,798,0,0,0,0,28,0,0,28,2850,0,1499,1351,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,영덕오십천,258171,15822,7707,8091,24,1210,154,1056,0,22821,13228,9593,0,214040,0,214040,0,38,0,38,0,67,0,67,0,0,0,0,0,0,0,0,0,4173,0,4173,0,0,0,0,0,0,0,0,0,0,0,0,0
낙동강,대종천,94912,9413,1202,4639,3572,731,99,613,19,14080,9217,4059,804,67037,0,65010,2027,68,0,68,0,0,0,0,0,0,0,0,0,1230,0,1230,0,2298,0,2245,53,55,0,0,55,0,0,0,0,0,0,0,0
낙동강,가화천,562344,23982,7898,13442,2642,5333,2546,2760,27,102264,90389,8983,2892,334982,0,331274,3708,7,0,0,7,2378,0,1225,1153,0,0,0,0,173,0,100,73,5217,0,2841,2376,87926,0,87860,66,0,0,0,0,82,0,0,82
낙동강,남해도,70501,11025,4114,2370,4541,361,264,0,97,5882,5878,0,4,48248,0,45000,3248,19,0,0,19,3181,0,122,3059,39,0,0,39,28,0,0,28,1675,0,0,1675,35,0,0,35,1,0,0,1,7,0,0,7
낙동강,거제도,370042,2553,784,958,811,0,0,0,0,3808,3800,0,8,356759,0,354000,2759,19,8,10,1,2960,0,0,2960,0,0,0,0,162,0,0,162,3017,0,1510,1507,755,0,0,755,9,0,0,9,0,0,0,0
낙동강,낙동강남해,506621,10695,2113,5287,3295,1196,0,1002,194,62682,54932,6650,1100,351664,0,198746,152918,22,0,0,22,1266,0,6,1260,0,0,0,0,357,0,334,23,2688,0,734,1954,76045,0,43500,32545,0,0,0,0,6,0,0,6
금강,용담댐,2468074,28834,11019,13232,4583,886,777,109,0,41632,27780,3614,10238,2325162,0,1067736,1257426,496,347,0,149,2363,0,304,2059,0,0,0,0,162,0,26,136,1851,0,951,900,66688,0,4792,61896,0,0,0,0,0,0,0,0
금강,용담댐하류,17875,403,26,56,321,125,0,125,0,2,0,0,2,16900,0,16900,0,3,0,0,3,278,0,0,278,0,0,0,0,0,0,0,0,160,0,84,76,4,0,0,4,0,0,0,0,0,0,0,0
금강,무주남대천,133665,5119,467,2948,1704,266,158,89,19,11361,9835,1333,193,114908,0,69126,45782,1,0,0,1,478,0,45,433,0,0,0,0,9,0,0,9,1474,0,0,1474,49,0,18,31,0,0,0,0,0,0,0,0
금강,영동천,750535,10685,2145,6436,2104,911,90,158,663,17313,14871,1840,602,691809,0,644925,46884,20,0,0,20,1254,0,230,1024,0,0,0,0,64,0,2,62,8334,0,3348,4986,20145,0,16000,4145,0,0,0,0,0,0,0,0
금강,초강,1198084,9043,3751,3832,1460,1113,584,520,9,13656,13056,547,53,931498,0,929319,2179,60,0,58,2,518,0,420,98,0,0,0,0,160,6,37,117,1954,0,346,1608,20082,0,8000,12082,0,0,0,0,220000,0,0,220000
금강,대청댐상류,50677,3386,1122,987,1277,54,0,20,34,878,870,0,8,44918,0,20000,24918,11,0,0,11,395,0,17,378,0,0,0,0,9,0,1,8,1019,0,0,1019,5,0,0,5,0,0,0,0,2,0,0,2
금강,보청천,1214854,21602,11790,4864,4948,2126,1484,481,161,32758,29512,1673,1573,1153667,100016,482617,571034,9,0,9,0,2253,0,1513,740,0,0,0,0,232,0,101,131,2078,0,518,1560,117,0,0,117,0,0,0,0,12,0,0,12
금강,대청댐,361495,14211,2236,3988,7987,1017,313,501,203,790,0,648,142,335890,0,33870,302020,0,0,0,0,1561,0,90,1471,0,0,0,0,94,0,0,94,7802,0,866,6936,95,0,0,95,14,0,0,14,21,0,0,21
금강,갑천,279784,7397,1183,3892,2322,250,0,140,110,5701,2290,3411,0,253251,0,148672,104579,43,0,25,18,810,0,0,810,0,0,0,0,184,0,65,119,11993,0,8845,3148,155,0,0,155,0,0,0,0,0,0,0,0
금강,대청댐하류,690989,3071,695,2300,76,829,538,291,0,24145,10132,14013,0,659402,12000,640396,7006,1,0,0,1,131,0,76,55,0,0,0,0,2,0,0,2,1390,1,875,514,2018,0,2000,18,0,0,0,0,0,0,0,0
금강,미호천,8997347,70589,23464,35483,11642,17724,8185,8038,1501,455662,371768,67235,16659,6850471,651873,5533550,665048,107,1,95,11,6280,2,895,5383,0,0,0,0,1816,8,112,1696,48422,12,32835,15575,1544654,150879,938424,455351,60,0,0,60,1562,0,0,1562
금강,금강공주,6347010,67092,15046,35006,17040,7942,4768,2626,548,183467,149422,32966,1079,5923302,168000,4877719,877583,141,0,34,107,4492,0,681,3811,0,0,0,0,1943,0,67,1876,20297,0,7463,12834,97510,0,42300,55210,0,0,0,0,40824,0,0,40824
